                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0703,                 5.4137,                 4.3592,                      0,                      0,                      0,                      0,                 2.9201,                  5.094,                 4.1596,              7.245e-05,              7.245e-05,              7.245e-05
                      2,                 3.0704,                 5.2271,                 4.2295,                      0,                      0,                      0,                      0,                 2.9139,                 5.0062,                 4.1585,             0.00014541,             0.00014541,             0.00014541
                      3,                  2.931,                 4.9194,                 4.0642,                      0,                      0,                      0,                      0,                 2.9509,                 4.6006,                 4.2304,             0.00021537,             0.00021537,             0.00021537
                      4,                 2.7863,                 4.7158,                 3.9131,                      0,                      0,                      0,                      0,                 3.0985,                 4.6517,                 4.3868,             0.00028232,             0.00028232,             0.00028232
                      5,                 2.5195,                 4.3053,                 3.7114,                      0,                      0,                      0,                      0,                 3.1195,                 4.6056,                 4.4118,             0.00031768,             0.00031768,             0.00031768
                      6,                 2.1833,                 4.0346,                 3.4048,                      0,                      0,                      0,                      0,                  3.077,                  4.562,                 4.3561,             0.00031084,             0.00031084,             0.00031084
                      7,                 2.0012,                 3.6325,                 3.2523,                0.00726,                0.19552,                 0.0202,                0.00736,                 2.7095,                 4.3014,                 4.0745,             0.00030401,             0.00030401,             0.00030401
                      8,                 1.8291,                 3.5518,                   3.03,                0.13137,                0.13781,                 0.0848,                0.03695,                 2.4268,                 4.9555,                 3.5994,             0.00029718,             0.00029718,             0.00029718
                      9,                  1.731,                 3.4376,                 2.8329,                  0.306,                0.18438,                0.23724,                0.15502,                 1.6697,                  2.862,                 2.8304,             0.00029035,             0.00029035,             0.00029035
                     10,                 1.5312,                 3.1437,                 2.6169,                0.26416,                0.51157,                 0.3132,                0.19205,                 1.4262,                 2.4875,                 2.7013,             0.00028352,             0.00028352,             0.00028352
                     11,                 1.4489,                 3.0165,                 2.4989,                0.33913,                0.54646,                0.48321,                0.32607,                  1.214,                 3.9476,                 2.5138,             0.00027669,             0.00027669,             0.00027669
                     12,                 1.4248,                  2.944,                 2.4637,                0.59685,                0.40666,                0.48006,                0.34576,                 1.1038,                 2.3004,                 2.3172,             0.00026986,             0.00026986,             0.00026986
                     13,                 1.3336,                 2.9187,                 2.3732,                0.46088,                0.57213,                0.48247,                0.34497,                 1.1423,                 2.2512,                 2.2623,             0.00026303,             0.00026303,             0.00026303
                     14,                 1.2672,                 2.8502,                 2.2402,                0.46983,                0.60618,                  0.579,                0.44017,                 0.9728,                 1.9267,                  2.099,              0.0002562,              0.0002562,              0.0002562
                     15,                 1.2064,                 2.6549,                 2.1274,                0.52372,                0.54102,                0.64574,                0.48515,                 1.0975,                 1.8861,                 2.2009,             0.00024937,             0.00024937,             0.00024937
